coverage;latitude;longitude;timeline;blue;evi;ndvi;red;nir
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2011-12-19T00:00:00;294.0;6957.0;8398.0;386.0;4434.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-01-01T00:00:00;322.0;4501.0;7142.0;481.0;2886.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-01-17T00:00:00;2529.0;3302.0;3179.0;2424.0;4684.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-02-02T00:00:00;2750.0;2334.0;2163.0;2975.0;4618.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-02-18T00:00:00;146.0;4702.0;8025.0;317.0;2894.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-03-05T00:00:00;231.0;5048.0;8445.0;230.0;2729.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-03-21T00:00:00;213.0;6088.0;8288.0;364.0;3889.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-04-06T00:00:00;148.0;5300.0;8622.0;225.0;3041.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-04-22T00:00:00;170.0;5390.0;8237.0;323.0;3343.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-05-08T00:00:00;195.0;5376.0;8484.0;252.0;3074.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-05-24T00:00:00;160.0;4810.0;8173.0;288.0;2865.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-06-09T00:00:00;154.0;4809.0;7781.0;394.0;3158.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-06-25T00:00:00;181.0;5467.0;8447.0;271.0;3221.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-07-11T00:00:00;127.0;5138.0;8455.0;256.0;3060.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-07-27T00:00:00;197.0;5002.0;7985.0;345.0;3081.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-08-12T00:00:00;213.0;4707.0;7732.0;375.0;2933.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-08-28T00:00:00;231.0;5623.0;8162.0;350.0;3460.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-09-13T00:00:00;167.0;5512.0;8498.0;265.0;3264.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-09-29T00:00:00;222.0;5384.0;8073.0;354.0;3322.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-10-15T00:00:00;212.0;-3000.0;-3000.0;-1000.0;3181.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-10-31T00:00:00;606.0;4123.0;3922.0;2206.0;5053.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-11-16T00:00:00;2012.0;3636.0;4118.0;1606.0;3855.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-12-02T00:00:00;191.0;6811.0;8484.0;374.0;4563.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2012-12-18T00:00:00;167.0;5175.0;8318.0;283.0;3084.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-01-01T00:00:00;190.0;5584.0;8083.0;366.0;3453.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-01-17T00:00:00;146.0;5153.0;8632.0;214.0;2915.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-02-02T00:00:00;285.0;6850.0;8172.0;471.0;4683.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-02-18T00:00:00;238.0;5177.0;7821.0;401.0;3280.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-03-06T00:00:00;340.0;7103.0;8231.0;453.0;4669.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-03-22T00:00:00;270.0;5554.0;7809.0;444.0;3610.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-04-07T00:00:00;221.0;6228.0;8193.0;410.0;4130.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-04-23T00:00:00;121.0;4685.0;8177.0;285.0;2842.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-05-09T00:00:00;168.0;5392.0;8485.0;259.0;3161.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-05-25T00:00:00;143.0;5200.0;8504.0;246.0;3043.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-06-10T00:00:00;155.0;5248.0;8605.0;224.0;2989.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-06-26T00:00:00;180.0;5323.0;8469.0;255.0;3078.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-07-12T00:00:00;192.0;5253.0;8123.0;335.0;3236.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-07-28T00:00:00;260.0;5390.0;8188.0;311.0;3122.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-08-13T00:00:00;261.0;5300.0;7988.0;357.0;3193.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-08-29T00:00:00;228.0;6238.0;8242.0;391.0;4058.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-09-14T00:00:00;220.0;6608.0;8521.0;333.0;4171.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-09-30T00:00:00;198.0;6411.0;8325.0;390.0;4269.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-10-16T00:00:00;290.0;7476.0;8458.0;418.0;5005.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-11-01T00:00:00;197.0;5407.0;7475.0;514.0;3558.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-11-17T00:00:00;657.0;4829.0;7022.0;565.0;3230.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-12-03T00:00:00;2108.0;3273.0;2934.0;2847.0;5212.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2013-12-19T00:00:00;151.0;4713.0;8319.0;249.0;2714.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-01-01T00:00:00;151.0;4713.0;8319.0;249.0;2714.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-01-17T00:00:00;1582.0;3765.0;4158.0;1659.0;4021.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-02-02T00:00:00;415.0;5882.0;7834.0;417.0;3434.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-02-18T00:00:00;2944.0;1925.0;1790.0;3097.0;4448.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-03-06T00:00:00;77.0;5218.0;9068.0;141.0;2887.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-03-22T00:00:00;1242.0;8456.0;6766.0;576.0;2987.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-04-07T00:00:00;198.0;5296.0;7659.0;491.0;3704.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-04-23T00:00:00;151.0;5462.0;8608.0;238.0;3183.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-05-09T00:00:00;192.0;5186.0;8545.0;226.0;2881.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-05-25T00:00:00;179.0;5271.0;8523.0;239.0;2999.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-06-10T00:00:00;176.0;4815.0;7989.0;330.0;2952.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-06-26T00:00:00;152.0;4084.0;7314.0;424.0;2734.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-07-12T00:00:00;224.0;5783.0;8372.0;306.0;3455.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-07-28T00:00:00;221.0;3920.0;6651.0;581.0;2889.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-08-13T00:00:00;188.0;5595.0;8352.0;305.0;3398.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-08-29T00:00:00;245.0;4519.0;6791.0;670.0;3506.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-09-14T00:00:00;238.0;5653.0;8076.0;378.0;3552.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-09-30T00:00:00;256.0;6494.0;8150.0;446.0;4377.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-10-16T00:00:00;470.0;3630.0;5159.0;948.0;2969.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-11-01T00:00:00;142.0;4300.0;8238.0;235.0;2433.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-11-17T00:00:00;304.0;5406.0;8079.0;351.0;3304.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-12-03T00:00:00;655.0;5219.0;5592.0;1313.0;4645.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2014-12-19T00:00:00;100.0;5281.0;8798.0;194.0;3035.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-01-01T00:00:00;118.0;4957.0;8780.0;178.0;2741.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-01-17T00:00:00;168.0;4473.0;8311.0;229.0;2483.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-02-02T00:00:00;181.0;4660.0;7566.0;429.0;3097.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-02-18T00:00:00;457.0;6949.0;8045.0;516.0;4763.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-03-06T00:00:00;239.0;5783.0;8251.0;337.0;3517.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-03-22T00:00:00;2070.0;3058.0;2563.0;3394.0;5734.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-04-07T00:00:00;142.0;4679.0;7428.0;433.0;2935.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-04-23T00:00:00;203.0;5318.0;8118.0;340.0;3274.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-05-09T00:00:00;149.0;4906.0;8069.0;326.0;3052.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-05-25T00:00:00;116.0;4841.0;8393.0;250.0;2863.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-06-10T00:00:00;134.0;4625.0;8284.0;253.0;2697.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-06-26T00:00:00;130.0;4355.0;7812.0;336.0;2736.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-07-12T00:00:00;164.0;5301.0;8452.0;261.0;3113.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-07-28T00:00:00;224.0;5194.0;7955.0;367.0;3223.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-08-13T00:00:00;261.0;5647.0;8139.0;350.0;3412.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-08-29T00:00:00;207.0;4373.0;7369.0;435.0;2872.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-09-14T00:00:00;140.0;5313.0;7742.0;486.0;3820.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-09-30T00:00:00;154.0;4494.0;7179.0;545.0;3320.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-10-16T00:00:00;199.0;4590.0;7510.0;429.0;3018.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-11-01T00:00:00;197.0;5469.0;7958.0;409.0;3597.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-11-17T00:00:00;218.0;4686.0;7077.0;598.0;3494.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-12-03T00:00:00;202.0;5473.0;8491.0;256.0;3137.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2015-12-19T00:00:00;151.0;5278.0;8857.0;174.0;2873.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-01-01T00:00:00;2322.0;3134.0;2961.0;2585.0;4760.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-01-17T00:00:00;238.0;8037.0;9017.0;259.0;5011.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-02-02T00:00:00;374.0;6577.0;7758.0;581.0;4602.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-02-18T00:00:00;180.0;5560.0;8331.0;310.0;3405.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-03-05T00:00:00;266.0;6753.0;8332.0;400.0;4399.0
