coverage;latitude;longitude;timeline;blue;evi;ndvi;red;nir
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-03-22T00:00:00;983.0;3454.0;5529.0;831.0;2887.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-04-07T00:00:00;379.0;3460.0;4970.0;1350.0;4018.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-04-23T00:00:00;223.0;6177.0;8508.0;300.0;3722.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-05-09T00:00:00;139.0;4358.0;8442.0;202.0;2392.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-05-25T00:00:00;122.0;5463.0;8785.0;203.0;3141.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-06-10T00:00:00;131.0;5077.0;8539.0;232.0;2944.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-06-26T00:00:00;166.0;5180.0;8535.0;233.0;2948.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-07-12T00:00:00;180.0;5089.0;8284.0;281.0;2995.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-07-28T00:00:00;256.0;4221.0;7092.0;475.0;2792.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-08-13T00:00:00;250.0;3803.0;6320.0;669.0;2967.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-08-29T00:00:00;253.0;4976.0;7697.0;407.0;3129.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-09-14T00:00:00;190.0;5041.0;7471.0;523.0;3614.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-09-30T00:00:00;145.0;5951.0;8559.0;287.0;3699.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-10-16T00:00:00;212.0;4355.0;6990.0;560.0;3161.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-11-01T00:00:00;856.0;5968.0;7115.0;811.0;4812.0
